age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
31;blue-collar;single;basic.4y;unknown;no;no;telephone;may;fri;487;3;999;0;nonexistent;-1.7;93.2980023440391;-43.19892532957104;3.6813753793182378;5176;no
42;student;married;professional.course;no;no;no;cellular;may;mon;60;5;18;1;nonexistent;1.1;93.30139230784842;-36.03529428950138;1.6526957429052542;5099;no
43;technician;married;high.school;no;no;no;cellular;may;wed;436;5;999;0;nonexistent;-1.8;93.73909582850551;-39.16601665564548;1.407691406670268;5099;no
19;services;married;professional.course;no;yes;no;telephone;jul;wed;145;7;999;0;nonexistent;-0.1;93.31465446947995;-37.289469226900785;2.466748800777152;5191;no
31;admin.;married;basic.9y;no;no;yes;cellular;may;fri;11;1;999;0;nonexistent;-1.7;92.77221120372467;-41.54877767421317;4.466311383490993;5191;no
33;blue-collar;divorced;university.degree;no;yes;no;cellular;may;wed;225;2;999;0;nonexistent;1.4;93.52104359642722;-38.27189619111681;5.055315891210591;5076;no
46;student;single;unknown;no;yes;no;telephone;jul;mon;788;3;16;1;nonexistent;-1.7;93.63472559245642;-40.277305718689796;1.4224986182485329;5195;no
38;housemaid;single;university.degree;unknown;yes;no;telephone;jul;thu;44;3;999;0;failure;1.1;93.43364992860447;-37.971944755104516;2.8181924072488735;5176;no
44;blue-collar;single;basic.9y;no;yes;no;telephone;may;mon;67;3;999;0;nonexistent;1.1;93.45512553056592;-37.210048802608846;2.0862919814554224;5195;no
53;technician;single;basic.4y;no;yes;no;cellular;apr;mon;153;3;999;0;nonexistent;1.4;93.66214957810324;-38.9226889352863;2.4779147501204597;5228;no
38;entrepreneur;married;university.degree;no;no;no;telephone;may;thu;125;5;999;0;nonexistent;1.1;93.2828111123859;-34.46406295247463;2.7967462282664934;5099;no
46;blue-collar;single;university.degree;no;yes;no;cellular;apr;tue;121;1;999;0;nonexistent;-0.1;93.69233741550137;-45.84028848926179;4.479834213223703;5228;no
49;admin.;divorced;basic.9y;no;yes;no;telephone;may;tue;109;2;999;0;nonexistent;-1.7;93.59187007184322;-46.774463762586755;3.5;5176;no
36;admin.;married;high.school;no;yes;no;cellular;may;tue;535;1;999;0;nonexistent;-0.1;93.62284440126984;-39.234430426787995;4.692844542904941;5099;no
35;admin.;single;professional.course;no;yes;no;cellular;apr;wed;253;4;999;0;failure;1.1;93.98986751956402;-51.12546294170632;0.8323675580538367;5017;no
47;self-employed;divorced;high.school;no;no;yes;cellular;aug;fri;108;5;999;0;nonexistent;1.1;93.72993026476956;-44.33196964380477;4.583141792935287;5228;no
44;technician;married;unknown;unknown;yes;no;telephone;may;wed;572;3;27;1;nonexistent;1.1;92.55003206727234;-34.249789468228855;4.253844243727482;5191;no
51;technician;single;university.degree;no;no;no;telephone;aug;wed;209;4;999;0;nonexistent;-1.8;93.85417084171516;-44.528260597027916;0.6;5191;no
44;admin.;married;basic.9y;no;no;yes;cellular;mar;mon;206;2;4;1;success;1.1;94.11680978102717;-34.97226338219294;1.2471496226900405;5017;yes
37;blue-collar;single;university.degree;no;no;yes;telephone;nov;tue;36;4;0;2;success;1.1;94.12007591911772;-32.5283733217335;1.704526923277819;4963;yes
42;unknown;married;high.school;no;no;no;telephone;may;mon;196;4;999;0;nonexistent;1.4;94.19276365091508;-36.60847169765715;0.9830014096741159;5195;no
34;technician;married;university.degree;no;yes;no;telephone;may;wed;369;5;999;0;nonexistent;1.1;93.69253988085283;-36.36513412821747;4.000045126990745;5176;no
19;admin.;single;high.school;unknown;no;yes;telephone;nov;wed;316;2;999;0;nonexistent;-0.1;93.57679333195001;-48.94043724892839;3.6655100802935756;5191;no
48;blue-collar;single;basic.9y;no;yes;no;telephone;may;thu;80;1;4;1;nonexistent;-0.1;93.25337278055336;-40.070878940676565;3.749426891577933;5195;no
28;admin.;divorced;professional.course;no;yes;no;cellular;aug;mon;164;3;999;0;nonexistent;-1.7;92.78785326265334;-41.428663475328385;4.8526194827082865;5176;no
43;services;single;university.degree;no;no;no;cellular;aug;mon;30;2;999;0;nonexistent;-1.7;93.69573273157637;-42.23347718848391;4.772705967708855;5195;no
40;blue-collar;single;basic.4y;no;no;no;telephone;may;wed;138;2;28;3;nonexistent;1.1;93.4683847789744;-36.430748079385;4.195309197342953;5076;no
42;admin.;divorced;high.school;no;no;no;cellular;aug;mon;47;4;999;0;nonexistent;-1.7;93.06637085388216;-36.51270294804951;1.9156079104866421;5099;no
27;entrepreneur;married;university.degree;no;unknown;no;telephone;aug;fri;245;1;999;0;nonexistent;1.1;93.91264780639122;-42.998669194220206;1.427567008201299;5017;yes
25;technician;single;basic.6y;no;no;yes;cellular;jun;tue;1033;2;999;0;nonexistent;-1.8;93.12753731436274;-43.912366945972984;4.070132651179029;5191;no
39;technician;married;university.degree;unknown;no;yes;telephone;apr;wed;95;2;999;0;nonexistent;1.4;93.78199996123112;-46.321347310764374;2.972908206564635;5191;no
41;retired;single;illiterate;no;no;no;cellular;may;fri;56;4;0;2;nonexistent;-1.7;93.49413262241528;-37.29513635582815;0.9391283988991084;5195;no
43;technician;single;basic.9y;no;yes;no;telephone;aug;fri;1195;4;999;0;nonexistent;-0.1;94.14061336976712;-42.80539735322841;4.33573169680158;5228;no
33;admin.;married;basic.4y;no;yes;yes;telephone;aug;thu;13;3;999;0;nonexistent;-0.1;94.34302289356204;-39.17947801516922;4.217778770960474;5195;no
28;blue-collar;single;university.degree;no;no;yes;cellular;aug;tue;8;5;999;0;nonexistent;-0.1;93.85558765481674;-43.19369323547809;3.8271615839922277;5099;no
47;technician;married;basic.9y;no;yes;no;cellular;jul;fri;38;2;9;1;success;-0.1;93.03865102088203;-41.40329066640484;3.2146927861939343;5176;yes
58;admin.;single;university.degree;unknown;no;no;cellular;mar;fri;637;2;25;2;nonexistent;1.4;93.37310839980842;-38.50150101998281;4.478797001942801;5076;no
45;blue-collar;married;high.school;no;yes;no;cellular;jun;thu;697;1;999;0;failure;-1.7;93.78194910194316;-33.53486124178529;0.6;5076;yes
49;technician;married;university.degree;unknown;no;unknown;telephone;jun;thu;590;4;999;0;failure;-1.8;93.3520408026537;-43.768184732447;2.931271186346449;5099;yes
21;housemaid;single;high.school;no;yes;no;telephone;jun;fri;381;3;999;0;nonexistent;-0.1;94.06636274884438;-43.825884726668264;5.054343281504061;5008;no
48;management;married;professional.course;no;no;no;telephone;may;tue;104;6;999;0;nonexistent;-1.7;93.44230683707268;-42.438620317396804;2.046450169119236;5008;yes
34;technician;married;basic.4y;unknown;yes;yes;telephone;may;wed;643;3;27;1;nonexistent;-1.7;93.75861711593076;-38.89027839170635;0.7170639663824245;5195;no
37;admin.;married;basic.9y;unknown;yes;no;cellular;may;mon;920;4;999;0;nonexistent;-1.8;93.82952471988101;-37.77521885014001;2.074580803908802;5195;no
53;admin.;single;professional.course;no;no;no;cellular;jul;mon;19;1;999;0;nonexistent;1.1;93.78980056889613;-40.44140057043915;1.2001729649494144;5099;no
35;management;married;university.degree;no;yes;no;cellular;jul;fri;21;1;8;1;nonexistent;-1.7;93.08561395930442;-40.1414797891948;4.00703703721947;5195;no
46;housemaid;single;university.degree;no;no;no;cellular;may;wed;153;1;999;0;nonexistent;-1.8;94.24494139926175;-48.839605821275256;3.705203451956528;5191;no
36;admin.;married;basic.6y;no;yes;no;cellular;jul;thu;273;3;999;0;nonexistent;1.1;93.58760858523972;-42.192324205266885;4.803388222851428;5099;no
23;services;married;university.degree;no;no;no;cellular;jun;mon;82;3;999;0;nonexistent;1.1;93.36791265009947;-41.26102866438038;4.771888027333822;5099;no
47;management;married;illiterate;no;no;no;cellular;may;fri;686;4;999;0;failure;-0.1;92.7602925966369;-39.986894201790264;4.54945977375391;5076;no
40;technician;married;basic.4y;no;yes;no;telephone;may;tue;616;2;999;0;nonexistent;1.1;92.76548258112247;-49.67883118805349;1.3177909690301037;5017;no
41;blue-collar;married;professional.course;no;yes;no;telephone;oct;wed;29;3;999;0;nonexistent;-0.1;93.1973840285771;-36.278993902273896;3.382161188772926;5176;no
43;services;married;professional.course;no;no;no;telephone;may;thu;112;2;999;0;nonexistent;1.1;93.1838234483048;-44.610079078925054;2.0204740959709944;5228;no
54;blue-collar;married;high.school;no;yes;no;cellular;oct;mon;204;3;11;2;nonexistent;-1.8;92.86457809261631;-36.39927850397919;4.259833810548645;5191;no
40;blue-collar;single;professional.course;unknown;no;no;cellular;jun;wed;321;2;999;0;nonexistent;1.1;93.23713438290082;-38.200025044573785;3.702398384617668;5176;no
18;admin.;married;high.school;no;yes;no;telephone;aug;wed;206;1;999;0;nonexistent;1.4;93.99870334596595;-44.10901953038281;4.781735377362834;5176;yes
54;technician;married;high.school;no;no;no;cellular;nov;tue;162;2;999;0;nonexistent;-0.1;93.69041408181145;-45.744053478206745;3.782239321494644;5195;no
42;admin.;married;professional.course;no;yes;no;cellular;may;wed;355;3;999;0;nonexistent;-0.1;92.91105235370236;-35.199204787737585;2.3906080516817116;5191;no
30;blue-collar;divorced;high.school;no;yes;no;telephone;may;tue;186;4;999;0;nonexistent;-0.1;94.01664174112501;-38.67674927214351;1.5967247320688438;5099;no
48;admin.;married;professional.course;no;yes;no;telephone;may;mon;157;5;999;0;nonexistent;1.1;94.00582575299053;-43.029355065357855;5.1;5195;no
26;unemployed;divorced;university.degree;no;yes;no;cellular;jun;fri;30;2;999;0;nonexistent;-0.1;92.72502593136436;-45.43881119862414;5.1;5228;no
18;admin.;single;university.degree;no;no;no;cellular;may;tue;391;6;21;3;nonexistent;-1.7;94.19432262249414;-40.78363679957622;0.6;4963;no
50;blue-collar;single;basic.6y;no;yes;no;telephone;may;fri;251;4;9;1;nonexistent;-0.1;93.82677221236924;-34.01383497067499;5.1;5099;no
51;technician;married;basic.9y;no;no;no;cellular;may;fri;52;3;999;0;nonexistent;-1.7;94.01034694950411;-42.194777363222585;3.8796575515931147;5176;no
51;blue-collar;married;high.school;no;no;no;cellular;may;wed;557;1;999;0;nonexistent;-1.8;93.01422570635556;-38.67164627661783;5.010629198585076;5191;no
35;services;single;basic.9y;no;no;no;telephone;may;thu;118;2;999;0;nonexistent;-0.1;93.3354779321798;-43.887697337488895;4.0592173348345835;5076;no
36;admin.;single;high.school;no;yes;no;telephone;jul;tue;72;1;999;0;nonexistent;1.1;93.25844812106915;-40.2521874719631;1.6478663106872742;5176;no
35;housemaid;single;university.degree;no;yes;no;cellular;nov;tue;36;3;999;0;nonexistent;-0.1;93.14390531151636;-41.5426401708518;2.4524311874982296;5191;no
25;blue-collar;single;basic.4y;no;no;no;cellular;jun;thu;50;3;999;0;nonexistent;1.4;93.16582412783531;-43.07359481454166;3.985029243143512;5191;no
36;blue-collar;married;professional.course;unknown;yes;no;telephone;jun;tue;321;1;999;0;nonexistent;1.4;93.04131085337566;-44.752238808853406;4.423250006948234;4963;no
36;technician;married;professional.course;no;yes;no;cellular;may;fri;115;1;22;1;nonexistent;1.1;93.80593474068762;-45.9634154855848;5.1;5076;no
28;services;married;basic.4y;no;no;no;telephone;aug;thu;440;4;999;0;nonexistent;-1.8;93.59493401710198;-34.89931780815986;2.491755624051394;5191;no
54;admin.;single;professional.course;no;yes;no;cellular;jul;mon;47;2;999;0;failure;1.1;94.05234230952115;-36.6820554337281;1.489322828184015;5191;no
32;blue-collar;married;high.school;unknown;no;no;cellular;mar;thu;23;3;999;0;nonexistent;1.4;92.29850512268214;-43.90739518054305;3.8368467622227787;5099;no
55;technician;married;university.degree;unknown;yes;no;telephone;may;mon;1;5;999;0;nonexistent;1.4;93.70132466157654;-31.282961655631823;3.930176824374844;5176;no
49;technician;divorced;university.degree;unknown;yes;no;telephone;may;fri;127;1;19;1;nonexistent;1.4;93.19558339266904;-37.12519799935209;5.043228546022869;5017;no
42;admin.;single;university.degree;no;yes;no;cellular;may;wed;1148;3;999;0;nonexistent;1.1;93.26256202419421;-45.63749222641736;2.2282604122645826;4963;no
26;management;single;high.school;no;no;no;cellular;aug;fri;213;2;999;0;nonexistent;1.1;93.3580034820497;-42.71263326296573;4.210387063122333;5228;no
47;blue-collar;divorced;university.degree;no;yes;no;cellular;aug;thu;66;3;999;0;nonexistent;1.1;94.68054511662928;-42.79994128658606;3.880030920355308;5195;no
60;admin.;single;university.degree;unknown;no;no;cellular;may;thu;483;3;999;0;nonexistent;-0.1;93.1334983480065;-38.83815540950681;0.6;5099;no
33;retired;married;basic.4y;no;yes;yes;telephone;aug;wed;273;3;999;0;nonexistent;-0.1;93.79125388153142;-43.102422406779276;3.777402964016144;5099;no
44;admin.;married;basic.9y;no;yes;yes;cellular;jul;tue;282;1;999;0;nonexistent;1.4;94.38908278213579;-38.879679711979676;4.6132679756560755;5176;no
36;admin.;married;unknown;no;yes;no;cellular;aug;tue;305;3;0;2;nonexistent;1.1;92.89981815413839;-36.72056004786073;4.937213575467755;5191;no
22;management;single;basic.6y;unknown;no;no;cellular;may;wed;64;1;999;0;nonexistent;-0.1;93.47414769115413;-41.90228864395287;3.005923204695672;5008;no
40;technician;married;high.school;no;yes;no;telephone;aug;tue;1414;1;999;0;nonexistent;-0.1;92.84342086890781;-47.27819716246138;4.088503753380879;5195;no
37;technician;married;basic.9y;no;no;no;cellular;apr;thu;46;1;999;0;nonexistent;-0.1;93.1168181005487;-31.55975207739459;3.85469085273125;5099;no
27;technician;married;basic.6y;no;no;no;cellular;may;mon;113;2;999;0;nonexistent;-1.7;93.73012537740262;-36.99521742350988;4.957034597463676;5099;no
49;unemployed;single;professional.course;unknown;no;no;cellular;may;tue;99;1;999;0;nonexistent;1.4;93.47518215099342;-42.56295205381175;0.6;5195;no
32;admin.;married;basic.9y;unknown;no;no;cellular;nov;tue;861;3;999;0;nonexistent;1.1;92.66871023010293;-37.807624986519734;0.630494154724516;5176;no
33;blue-collar;married;basic.9y;no;yes;no;cellular;nov;tue;34;1;999;0;nonexistent;-0.1;93.78004015926635;-30.875519142932983;3.362073559667159;5008;no
46;student;married;basic.9y;unknown;yes;no;cellular;may;mon;99;4;999;0;success;-1.7;94.39725639185278;-43.45894668553838;0.6;5191;yes
28;blue-collar;married;university.degree;unknown;no;yes;cellular;nov;wed;830;1;999;0;nonexistent;-0.1;93.78306898680731;-44.394606943547174;4.145877778720975;5176;no
47;admin.;married;university.degree;no;yes;yes;cellular;jun;fri;270;2;999;0;nonexistent;-1.8;93.24801560864766;-37.18816032125098;1.3386575779911114;5008;no
41;technician;married;university.degree;no;yes;no;cellular;nov;fri;63;3;999;0;nonexistent;-1.7;92.99964617198202;-45.19825628356601;2.9740956808240613;5228;no
42;management;married;basic.9y;no;yes;no;cellular;apr;wed;50;2;999;0;nonexistent;1.1;93.52691431112626;-44.5787381962593;4.550106744058382;5195;no
52;admin.;married;basic.6y;no;yes;yes;cellular;jul;tue;44;1;999;0;nonexistent;-0.1;92.97081229870696;-38.44720045484176;3.1793550457875854;5099;no
35;admin.;divorced;high.school;no;no;no;cellular;nov;wed;315;1;999;0;nonexistent;1.1;94.11886312783069;-39.53298624026011;1.7850292386482411;5195;no
30;admin.;married;basic.4y;no;no;no;cellular;jun;mon;520;3;11;1;nonexistent;-0.1;93.38972295717215;-45.25720614193293;3.450343772512536;4963;no
18;blue-collar;single;university.degree;no;yes;no;cellular;aug;fri;167;2;999;0;success;-1.7;92.69657316745118;-34.91229532170876;1.7338020876610154;5191;yes
32;self-employed;single;professional.course;no;yes;no;cellular;oct;wed;220;1;999;0;nonexistent;-1.8;93.26340362243558;-47.14215464970179;4.327289572928245;5099;no
38;admin.;married;university.degree;unknown;yes;no;telephone;jun;fri;205;7;999;0;nonexistent;1.4;93.19955292364881;-43.41282291188217;3.6164978086105237;5228;no
34;blue-collar;married;basic.4y;no;yes;yes;cellular;aug;fri;62;2;999;0;failure;-1.7;93.90211482137225;-40.6619622344592;2.408138375537625;5195;no
43;self-employed;married;high.school;no;no;no;cellular;aug;wed;72;5;999;0;failure;-1.8;93.72310231705455;-38.30282152597247;0.6;5099;no
27;housemaid;married;high.school;no;no;no;telephone;aug;tue;205;1;999;0;nonexistent;1.1;93.56892901539481;-39.364327898357764;3.597408007918194;5191;no
35;admin.;married;basic.6y;no;yes;no;cellular;apr;mon;165;2;999;0;success;-1.7;93.17466239738829;-43.471354245887;4.293230742093154;5099;yes
46;technician;married;high.school;no;no;no;cellular;may;fri;378;1;999;0;nonexistent;1.1;92.64659586535824;-42.68974000390574;2.3045853224485904;5176;no
49;blue-collar;married;basic.4y;no;no;no;cellular;jun;fri;30;3;999;0;nonexistent;1.1;94.18684408452451;-42.01926738919277;1.4330962521288622;5176;no
55;admin.;single;professional.course;no;yes;no;telephone;may;thu;86;3;20;1;nonexistent;-1.8;93.49913640640563;-37.019104652502435;1.3687796461918897;4963;yes
34;technician;single;university.degree;no;yes;no;cellular;may;tue;16;4;999;0;nonexistent;-1.7;94.25068847412622;-45.17565253816531;3.763053589818302;5191;no
27;management;single;university.degree;no;no;no;cellular;jun;mon;319;3;999;0;nonexistent;1.1;93.67844179500968;-42.274403823736996;3.824924276526003;5176;no
48;admin.;married;basic.4y;unknown;no;no;cellular;aug;fri;345;3;999;0;nonexistent;1.1;93.00593744530202;-43.28546970851988;2.8673621577968884;5195;no
40;blue-collar;married;high.school;no;yes;no;telephone;apr;tue;44;3;999;0;nonexistent;-0.1;93.75323510633486;-31.537673955722653;4.043852839120564;5228;no
34;technician;married;university.degree;no;yes;yes;cellular;jun;mon;12;5;26;1;nonexistent;-1.8;92.83195533685428;-45.47817414392867;4.527895991419973;5195;no
29;self-employed;married;basic.4y;no;no;yes;cellular;jul;tue;241;3;999;0;nonexistent;-1.7;92.59099228788102;-42.97895529424129;3.8132040979431787;5176;no
29;self-employed;married;basic.9y;unknown;no;yes;cellular;may;mon;296;5;999;0;nonexistent;1.4;93.87251450086383;-43.508038327427094;4.533144400324393;5191;no
36;services;married;professional.course;no;yes;yes;cellular;may;thu;89;3;999;0;nonexistent;1.1;93.1821835857277;-45.13456951886757;4.057993179608648;5176;no
66;management;married;basic.6y;no;no;no;cellular;jul;thu;11;1;22;2;failure;-1.8;94.15654641968959;-36.20417634022898;2.614291751801102;5076;no
40;admin.;married;university.degree;no;yes;no;telephone;aug;thu;46;2;999;0;nonexistent;-0.1;92.96215195805938;-42.51736088659377;4.449588056946483;5228;no
48;services;married;basic.9y;no;yes;no;telephone;jul;mon;84;4;999;0;nonexistent;1.4;94.32060854180052;-27.83961280114705;0.6;5195;no
30;blue-collar;married;university.degree;no;no;no;telephone;jul;wed;293;1;999;0;nonexistent;-1.8;94.0184736609241;-43.273724398155025;1.6178441711747562;5008;no
18;services;married;university.degree;no;no;no;cellular;aug;thu;252;1;999;0;nonexistent;-1.7;93.84614221282166;-40.088840469204705;1.6164207025655795;5008;yes
46;admin.;single;basic.9y;no;no;no;cellular;jul;mon;73;4;999;0;nonexistent;-0.1;93.40327809138276;-41.70590895632509;1.48864154418827;5195;no
29;technician;married;university.degree;no;yes;no;cellular;may;wed;434;3;999;0;nonexistent;1.4;93.58913088161572;-43.51493396933767;4.325928646042373;5099;no
30;blue-collar;married;high.school;unknown;no;no;telephone;may;fri;245;4;999;0;nonexistent;-1.7;93.99223264577782;-44.95344224741002;4.015520070366293;5228;no
39;blue-collar;married;university.degree;no;yes;no;telephone;may;thu;873;4;999;0;failure;1.1;93.65811570666374;-32.18631021739957;5.1;5195;no
54;admin.;married;basic.9y;unknown;no;no;cellular;jul;fri;128;2;999;0;failure;-1.8;93.93822553028811;-41.020638791068194;0.7437199413542108;5076;yes
49;services;divorced;professional.course;no;yes;no;telephone;may;wed;140;1;28;3;success;-1.7;93.64837168452829;-39.29657477700806;1.6274175777336062;5017;yes
33;management;single;university.degree;no;yes;no;cellular;may;mon;261;5;23;1;nonexistent;-1.7;93.24995835924895;-42.854469587781644;1.303240172363516;4963;no
43;admin.;married;university.degree;no;no;no;cellular;may;wed;361;1;999;0;failure;-1.8;94.37392232477603;-36.47820046806059;2.5791812412187927;5099;no
44;technician;married;university.degree;no;yes;no;telephone;aug;tue;295;3;6;2;nonexistent;-1.8;94.4313686180685;-42.149148193392584;3.553924057905857;5191;no
45;management;married;basic.9y;no;no;no;telephone;apr;thu;3;1;999;0;nonexistent;-0.1;94.1214910972924;-39.535560383805894;3.6821652379325456;5191;no
36;admin.;divorced;illiterate;unknown;no;no;cellular;jun;wed;37;1;999;0;nonexistent;1.1;93.61558907636534;-35.77470181166435;3.980012490968069;5176;no
45;admin.;married;professional.course;no;yes;no;cellular;may;fri;191;6;999;0;nonexistent;-1.7;93.47057095839858;-37.107741221918324;1.6285564869255347;5191;no
45;housemaid;married;university.degree;no;no;no;cellular;may;wed;84;1;3;1;nonexistent;1.1;94.03244792031546;-30.569644106731495;4.724859972388397;5099;no
44;management;married;basic.6y;no;no;no;cellular;nov;wed;728;3;999;0;nonexistent;1.4;93.44756639520338;-39.76954332691763;4.418516448856052;4963;no
28;blue-collar;married;basic.4y;no;no;no;cellular;may;thu;197;1;999;0;nonexistent;-1.7;92.89494371485627;-32.6699411679544;5.1;5191;no
40;management;single;high.school;no;no;no;telephone;apr;tue;451;3;999;0;nonexistent;-1.7;93.40426078428263;-40.210924444943316;3.9504784211846005;5017;yes
49;admin.;married;basic.4y;no;yes;no;cellular;may;mon;40;4;999;0;nonexistent;-0.1;93.92921225635786;-41.49600119907536;0.6;5176;no
18;retired;married;university.degree;no;yes;no;cellular;jul;tue;359;2;999;0;nonexistent;1.1;93.62346320580988;-41.48719076285877;2.87513725897841;5195;no
52;blue-collar;married;university.degree;no;no;yes;cellular;jul;thu;46;4;999;0;nonexistent;1.4;93.49613424463139;-35.67809405838846;0.655528005910104;5191;no
48;blue-collar;married;university.degree;unknown;yes;no;cellular;nov;tue;821;1;25;1;nonexistent;-1.7;93.11776902322347;-43.57004675178011;2.20372879789515;5017;yes
44;admin.;married;university.degree;no;no;yes;telephone;jul;wed;30;2;999;0;nonexistent;1.1;92.8193571433569;-44.06492863261398;4.843019458197754;5099;no
45;blue-collar;married;university.degree;unknown;no;no;telephone;may;mon;130;3;999;0;nonexistent;-1.7;93.26466942081655;-40.99834999905458;0.7782669107961916;5176;no
40;services;married;high.school;unknown;yes;yes;cellular;aug;wed;608;2;999;0;nonexistent;1.4;93.67462028243506;-43.386677386806866;4.108535120752528;5099;no
30;retired;married;professional.course;no;no;no;telephone;jul;mon;102;2;26;1;nonexistent;-1.8;93.2010021807669;-40.391760033113;4.188821054216164;5176;no
37;admin.;married;university.degree;no;yes;no;cellular;nov;mon;113;4;999;0;failure;-1.7;93.55261642752475;-36.673611036346465;5.1;5008;no
40;unemployed;divorced;university.degree;no;no;no;cellular;nov;tue;772;1;13;1;nonexistent;-1.8;93.79276215002427;-44.78488572197129;3.936167055003624;5228;no
37;retired;single;university.degree;no;no;yes;telephone;aug;thu;1571;4;999;0;nonexistent;-0.1;93.88512546666267;-34.07114293168292;3.4140128773310545;5191;no
43;unemployed;single;high.school;no;yes;yes;cellular;mar;fri;166;1;23;2;nonexistent;1.4;93.61322080939622;-41.78660437174845;4.550660343581315;5017;no
43;blue-collar;single;professional.course;unknown;yes;yes;telephone;nov;tue;10;5;999;0;nonexistent;-1.7;92.80726359465896;-41.027356304050464;4.597588575699024;5228;no
40;admin.;married;high.school;no;yes;no;cellular;may;fri;332;2;999;0;nonexistent;1.1;93.67096029183827;-50.01659073309195;4.140981709016247;5228;no
45;entrepreneur;married;professional.course;no;yes;no;cellular;may;thu;386;1;999;0;nonexistent;-1.7;93.41390444949474;-43.51384591436058;4.0237911976232885;5191;no
46;admin.;married;basic.9y;no;yes;yes;telephone;aug;wed;93;2;999;0;nonexistent;1.1;92.38061090353787;-47.65081022351669;4.959123164849668;5099;no
29;blue-collar;married;high.school;unknown;no;yes;cellular;may;thu;2;1;999;0;nonexistent;-1.7;93.34628628777192;-34.36115880777275;0.6;5191;no
51;blue-collar;married;basic.9y;unknown;yes;no;cellular;jun;thu;161;5;21;1;nonexistent;-0.1;94.42050275048241;-34.24405710723464;3.927237325705171;5176;no
33;admin.;divorced;basic.4y;no;no;no;cellular;may;tue;2;3;999;0;nonexistent;-0.1;93.5627400451229;-41.044678853039194;1.9610011136176926;5017;no
43;admin.;married;university.degree;unknown;yes;no;cellular;nov;thu;0;3;999;0;nonexistent;-1.8;93.78965455111218;-40.984912663503735;5.075115678096471;5176;no
37;services;single;basic.9y;no;no;yes;cellular;may;thu;172;1;999;0;nonexistent;-1.7;94.25581063200086;-43.983049056390136;4.428395362629075;5099;no
40;blue-collar;single;basic.9y;unknown;no;no;cellular;may;tue;297;5;999;0;nonexistent;-1.7;93.61383060896124;-38.77062106744918;3.348004722142984;5008;no
52;admin.;single;basic.4y;no;no;no;telephone;jul;wed;38;2;999;0;nonexistent;-1.8;93.51943333754436;-38.834684645161175;3.428394885389785;5099;no
38;blue-collar;single;basic.9y;no;no;no;cellular;jun;fri;215;2;999;0;nonexistent;1.4;92.77205300678848;-40.438079304048934;5.1;5195;no
43;technician;single;university.degree;no;no;no;cellular;aug;tue;300;6;29;1;nonexistent;1.1;93.4800840780534;-44.59487805636069;0.6;4963;no
